Date,Trips over the past 24-hours (midnight to 11:59pm),Miles traveled today (midnight to 11:59 pm),Total Annual Members (All Time),24-Hour Passes Purchased (midnight to 11:59 pm),3-Day Passes Purchased (midnight to 11:59 pm)
1/1/2019,22145,44131,297823,2429,49
1/2/2019,38249,58975,297908,1062,36
1/3/2019,42181,62500,297976,969,31
1/4/2019,44420,65739,298017,1173,33
1/5/2019,17636,24326,298048,462,8
1/6/2019,31764,50481,298094,1711,31
1/7/2019,36928,52310,298152,514,18
1/8/2019,41728,60469,298218,654,23
1/9/2019,44882,63480,298263,646,23
1/10/2019,39449,53225,298299,478,13
1/11/2019,33196,44226,298331,465,23
1/12/2019,25431,35133,298361,772,26
1/13/2019,23020,33018,298399,700,18
1/14/2019,35408,48021,298439,402,9
1/15/2019,39538,54751,298470,511,19
1/16/2019,40854,56553,298510,513,7
1/17/2019,39417,53430,298546,463,14
1/18/2019,34478,47215,298574,542,27
1/19/2019,23933,34580,298595,865,28
1/20/2019,14440,19131,298616,368,8
1/21/2019,10392,11911,298632,141,5
1/22/2019,28913,37788,298665,315,14
1/23/2019,42028,59442,298692,526,10
1/24/2019,20328,27931,298721,260,7
1/25/2019,39298,54567,298748,621,21
1/26/2019,26607,38634,298778,933,18
1/27/2019,30338,48280,298828,1510,19
1/28/2019,36173,49109,298878,448,13
1/29/2019,31355,42066,298919,341,12
1/30/2019,25496,33178,298947,263,8
1/31/2019,18882,22917,298975,186,8
2/1/2019,25289,31752,298998,255,11
2/2/2019,22280,30802,299032,627,19
2/3/2019,32274,52757,299103,1743,24
2/4/2019,47049,73262,299172,1180,42
2/5/2019,54710,87917,299249,1770,42
2/6/2019,39616,55696,299296,754,27
2/7/2019,43840,62728,299341,765,22
2/8/2019,36964,52442,299383,864,22
2/9/2019,24041,33607,299409,811,10
2/10/2019,24434,35873,299449,935,6
2/11/2019,39197,54362,299493,563,20
2/12/2019,16044,22190,299521,150,4
2/13/2019,35523,48870,299551,439,21
2/14/2019,42313,61381,299589,773,26
2/15/2019,47524,74286,299633,1590,58
2/16/2019,31347,52760,299683,2030,58
2/17/2019,24287,39660,299711,1439,30
2/18/2019,26176,37500,299757,810,17
2/19/2019,35226,49024,299810,595,10
2/20/2019,20694,28763,299835,221,15
2/21/2019,40082,60375,299871,961,37
2/22/2019,42338,61956,299913,1097,49
2/23/2019,31956,49887,299956,1635,28
2/24/2019,24503,37473,299993,992,19
2/25/2019,34736,47207,300029,495,14
2/26/2019,38126,52805,300067,524,23
2/27/2019,37028,48666,300097,464,27
2/28/2019,38784,53031,300157,652,30
3/1/2019,30242,41583,300183,522,26
3/2/2019,18001,27381,300213,570,25
3/3/2019,23240,35764,300264,1115,22
3/4/2019,28424,39154,300319,563,23
3/5/2019,37103,50155,300367,552,24
3/6/2019,33287,42845,300409,376,27
3/7/2019,35913,46582,300450,468,15
3/8/2019,40416,55748,300503,852,32
3/9/2019,38929,68739,300574,3010,35
3/10/2019,18897,28056,300611,662,16
3/11/2019,52412,80705,300691,1749,56
3/12/2019,47214,66518,300757,1003,40
3/13/2019,50121,71552,300825,1194,42
3/14/2019,57464,86864,300904,1826,82